0.0 0
0.0022056 4294967295
ssthresh 0.53203: 14280
ssthresh 0.532661: 14280
ssthresh 0.533291: 14280
ssthresh 0.533922: 14280
ssthresh 0.534552: 14280
ssthresh 0.535182: 14280
ssthresh 0.535813: 14280
ssthresh 0.536443: 14280
ssthresh 0.537074: 14280
ssthresh 0.537704: 14280
ssthresh 0.538334: 14280
ssthresh 0.538965: 14280
ssthresh 0.539595: 14280
ssthresh 0.540226: 14280
ssthresh 0.540856: 14280
ssthresh 0.541486: 14280
ssthresh 0.542117: 14280
ssthresh 0.542747: 14280
ssthresh 0.543378: 14280
ssthresh 0.544008: 14280
ssthresh 0.544638: 14280
ssthresh 0.545269: 14280
ssthresh 0.545899: 14280
ssthresh 0.54653: 14280
ssthresh 0.54716: 14280
ssthresh 0.54779: 14280
ssthresh 0.548421: 14280
ssthresh 0.549051: 14280
ssthresh 0.549682: 14280
ssthresh 0.550312: 14280
ssthresh 0.550942: 14280
ssthresh 0.551573: 14280
ssthresh 0.552203: 14280
ssthresh 0.552834: 14280
ssthresh 0.553464: 14280
ssthresh 0.554094: 14280
ssthresh 0.554725: 14280
ssthresh 0.555355: 14280
ssthresh 0.555986: 14280
ssthresh 0.556616: 14280
ssthresh 0.557246: 14280
ssthresh 0.557877: 14280
ssthresh 0.558507: 14280
ssthresh 0.559138: 14280
ssthresh 0.559768: 14280
ssthresh 0.560398: 14280
ssthresh 0.561029: 14280
ssthresh 0.561659: 14280
ssthresh 0.56229: 14280
ssthresh 0.56292: 14280
ssthresh 0.56355: 14280
ssthresh 0.564181: 14280
ssthresh 0.564811: 14280
ssthresh 0.565442: 14280
ssthresh 0.566072: 14280
ssthresh 0.566702: 14280
ssthresh 0.567333: 14280
ssthresh 0.567963: 14280
ssthresh 0.568594: 14280
ssthresh 0.569224: 14280
ssthresh 0.569854: 14280
ssthresh 0.570485: 14280
ssthresh 0.571115: 14280
ssthresh 0.571746: 14280
ssthresh 0.572376: 14280
ssthresh 0.573006: 14280
ssthresh 0.573637: 14280
ssthresh 0.574267: 14280
ssthresh 0.574898: 14280
ssthresh 0.575528: 14280
ssthresh 0.576158: 14280
ssthresh 0.576789: 14280
ssthresh 0.577419: 14280
ssthresh 0.57805: 14280
ssthresh 0.57868: 14280
ssthresh 0.57931: 14280
ssthresh 0.579941: 14280
ssthresh 0.580571: 14280
ssthresh 0.581202: 14280
ssthresh 0.581832: 14280
ssthresh 0.582462: 14280
ssthresh 0.583093: 14280
ssthresh 0.583723: 14280
ssthresh 0.584354: 14280
ssthresh 0.584984: 14280
ssthresh 0.585614: 14280
ssthresh 0.586245: 14280
ssthresh 0.586875: 14280
ssthresh 0.587506: 14280
ssthresh 0.588136: 14280
ssthresh 0.588766: 14280
ssthresh 0.589397: 14280
ssthresh 0.590027: 14280
ssthresh 0.590658: 14280
ssthresh 0.591288: 14280
ssthresh 0.591918: 14280
ssthresh 0.592549: 14280
ssthresh 0.593179: 14280
ssthresh 0.59381: 14280
ssthresh 0.59444: 14280
ssthresh 0.59507: 14280
ssthresh 0.595701: 14280
ssthresh 0.596331: 14280
ssthresh 0.596962: 14280
ssthresh 0.597592: 14280
ssthresh 0.598222: 14280
ssthresh 0.598853: 14280
ssthresh 0.599483: 14280
ssthresh 0.600114: 14280
ssthresh 0.600744: 14280
ssthresh 0.601374: 14280
ssthresh 0.602005: 14280
ssthresh 0.602635: 14280
ssthresh 0.603266: 14280
ssthresh 0.603896: 14280
ssthresh 0.604526: 14280
ssthresh 0.605157: 14280
ssthresh 0.605787: 14280
ssthresh 0.606418: 14280
ssthresh 0.607048: 14280
