0.0 0
cwnd 0.606418: 18099
cwnd 0.607048: 18105
cwnd 0.607678: 18111
cwnd 0.608309: 18117
cwnd 0.608939: 18123
cwnd 0.60957: 18129
cwnd 0.6102: 18135
cwnd 0.61083: 18141
cwnd 0.611461: 18147
cwnd 0.612091: 18153
cwnd 0.612722: 18159
cwnd 0.613352: 18165
cwnd 0.613982: 18171
cwnd 0.614613: 18177
cwnd 0.615243: 18183
cwnd 0.615874: 18189
cwnd 0.616504: 18195
cwnd 0.617134: 18201
cwnd 0.617765: 18207
cwnd 0.618395: 18213
cwnd 0.619026: 18219
cwnd 0.619656: 18225
cwnd 0.620286: 18231
cwnd 0.620917: 18237
cwnd 0.621547: 18243
cwnd 0.622178: 18249
cwnd 0.622808: 18255
cwnd 0.623438: 18261
cwnd 0.624069: 18267
cwnd 0.624699: 18273
cwnd 0.62533: 18279
cwnd 0.62596: 18285
cwnd 0.62659: 18291
cwnd 0.627221: 18297
cwnd 0.627851: 18303
cwnd 0.628482: 18309
cwnd 0.629112: 18315
cwnd 0.629742: 18321
cwnd 0.630373: 18327
cwnd 0.631003: 18333
cwnd 0.631634: 18339
cwnd 0.632264: 18345
cwnd 0.632894: 18351
cwnd 0.633525: 18357
cwnd 0.634155: 18363
cwnd 0.634786: 18369
cwnd 0.635416: 18375
cwnd 0.636046: 18381
cwnd 0.636677: 18387
cwnd 0.637307: 18393
cwnd 0.637938: 18399
cwnd 0.638568: 18405
cwnd 0.639198: 18411
cwnd 0.639829: 18417
cwnd 0.640459: 18423
cwnd 0.64109: 18429
cwnd 0.64172: 18435
cwnd 0.64235: 18441
cwnd 0.642981: 18447
cwnd 0.643611: 18453
cwnd 0.644242: 18459
cwnd 0.644872: 18465
cwnd 0.645502: 18471
cwnd 0.646133: 18477
cwnd 0.646763: 18483
cwnd 0.647394: 18489
cwnd 0.648024: 18495
cwnd 0.648654: 18501
cwnd 0.649285: 18507
cwnd 0.649915: 18513
cwnd 0.650546: 18519
cwnd 0.651176: 18525
cwnd 0.651806: 18531
cwnd 0.652437: 18537
cwnd 0.653067: 18543
cwnd 0.653698: 18549
cwnd 0.654328: 18555
cwnd 0.654958: 18561
cwnd 0.655589: 18567
cwnd 0.656219: 18573
cwnd 0.65685: 18579
cwnd 0.65748: 18585
cwnd 0.65811: 18591
cwnd 0.658741: 18597
cwnd 0.659371: 18603
cwnd 0.660002: 18609
cwnd 0.660632: 18615
cwnd 0.661262: 18621
cwnd 0.661893: 18627
cwnd 0.662523: 18633
cwnd 0.663154: 18639
cwnd 0.663784: 18645
cwnd 0.664414: 18651
cwnd 0.665045: 18657
cwnd 0.665675: 18663
cwnd 0.666306: 18669
cwnd 0.666936: 18675
cwnd 0.667566: 18681
cwnd 0.668197: 18687
cwnd 0.668827: 18693
cwnd 0.669458: 18699
cwnd 0.670088: 18705
cwnd 0.670718: 18711
cwnd 0.671349: 18717
cwnd 0.671979: 18723
cwnd 0.67261: 18729
cwnd 0.67324: 18735
cwnd 0.67387: 18741
cwnd 0.674501: 18747
cwnd 0.675131: 18753
cwnd 0.675762: 18759
cwnd 0.676392: 18765
cwnd 0.677022: 18771
cwnd 0.677653: 18777
cwnd 0.678283: 18783
cwnd 0.678914: 18789
cwnd 0.679544: 18795
cwnd 0.680174: 18801
cwnd 0.680805: 18807
cwnd 0.681435: 18813
cwnd 0.682066: 18819
cwnd 0.682696: 18825
cwnd 0.683326: 18831
cwnd 0.683957: 18837
cwnd 0.684587: 18843
cwnd 0.685218: 18849
cwnd 0.685848: 18855
cwnd 0.686478: 18861
cwnd 0.687109: 18867
cwnd 0.687739: 18873
cwnd 0.68837: 18879
cwnd 0.689: 18885
cwnd 0.68963: 18891
cwnd 0.690261: 18897
cwnd 0.690891: 18903
cwnd 0.691522: 18909
cwnd 0.692152: 18915
cwnd 0.692782: 18921
cwnd 0.693413: 18927
cwnd 0.694043: 18933
cwnd 0.694674: 18939
cwnd 0.695304: 18945
cwnd 0.695934: 18951
cwnd 0.696565: 18957
cwnd 0.697195: 18963
cwnd 0.697826: 18969
cwnd 0.698456: 18975
cwnd 0.699086: 18981
cwnd 0.699717: 18987
cwnd 0.700347: 18993
cwnd 0.700978: 18999
cwnd 0.701608: 19005
cwnd 0.702238: 19011
cwnd 0.702869: 19017
cwnd 0.703499: 19023
cwnd 0.70413: 19029
cwnd 0.70476: 19035
cwnd 0.70539: 19041
cwnd 0.706021: 19047
cwnd 0.706651: 19053
cwnd 0.707282: 19059
cwnd 0.707912: 19065
cwnd 0.708542: 19071
cwnd 0.709173: 19077
cwnd 0.709803: 19083
cwnd 0.710434: 19089
cwnd 0.711064: 19095
cwnd 0.711694: 19101
cwnd 0.712325: 19107
cwnd 0.712955: 19113
cwnd 0.713586: 19119
cwnd 0.714216: 19125
cwnd 0.714846: 19131
cwnd 0.715477: 19137
cwnd 0.716107: 19143
cwnd 0.716738: 19149
cwnd 0.717368: 19155
cwnd 0.717998: 19161
cwnd 0.718629: 19167
cwnd 0.719259: 19173
cwnd 0.71989: 19179
cwnd 0.72052: 19185
cwnd 0.72115: 19191
cwnd 0.721781: 19197
cwnd 0.722411: 19203
cwnd 0.723042: 19209
cwnd 0.723672: 19215
cwnd 0.724302: 19221
cwnd 0.724933: 19227
cwnd 0.725563: 19233
cwnd 0.726194: 19239
cwnd 0.726824: 19245
cwnd 0.727454: 19251
cwnd 0.728085: 19257
cwnd 0.728715: 19263
cwnd 0.729346: 19269
cwnd 0.729976: 19274
cwnd 0.730606: 19279
cwnd 0.731237: 19284
cwnd 0.731867: 19289
cwnd 0.732498: 19294
cwnd 0.733128: 19299
cwnd 0.733758: 19304
cwnd 0.734389: 19309
cwnd 0.735019: 19314
cwnd 0.73565: 19319
cwnd 0.73628: 19324
cwnd 0.73691: 19329
cwnd 0.737541: 19334
cwnd 0.738171: 19339
cwnd 0.738802: 19344
cwnd 0.739432: 19349
cwnd 0.740062: 19354
cwnd 0.740693: 19359
cwnd 0.741323: 19364
cwnd 0.741954: 19369
cwnd 0.742584: 19374
cwnd 0.743214: 19379
cwnd 0.743845: 19384
cwnd 0.744475: 19389
cwnd 0.745106: 19394
cwnd 0.745736: 19399
cwnd 0.746366: 19404
cwnd 0.746997: 19409
cwnd 0.747627: 19414
cwnd 0.748258: 19419
cwnd 0.748888: 19424
cwnd 0.749518: 19429
cwnd 0.750149: 19434
cwnd 0.750779: 19439
cwnd 0.75141: 19444
cwnd 0.75204: 19449
cwnd 0.75267: 19454
cwnd 0.753301: 19459
cwnd 0.753931: 19464
